feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Cells_Texture_Variance_DNA_10_01_256,0.013616491086069186,0.8691613811536114,0.05531344496045058,0.06190868279986894,411541.7581603904,Cells,Texture,DNA
Cytoplasm_AreaShape_Perimeter,0.1175667129946181,0.23184162593332042,0.03332215351414212,0.6172695075579193,57592.23043014194,Cytoplasm,AreaShape,
Image_Texture_Variance_Mito_10_03_256,0.007630286918946642,0.7433205267806844,0.039400605943661425,0.20964858035670755,33642.34186817585,Image,Texture,Mito
Image_Texture_DifferenceEntropy_ER_3_01_256,0.10520060860559924,0.7589474051250361,0.02480261889520031,0.11104936737416432,7786.479692374667,Image,Texture,ER
Image_Texture_Variance_RNA_5_03_256,0.009720285271609693,0.8917455280740911,0.02179216855841556,0.07674201809588377,49359.7838321254,Image,Texture,RNA
Cytoplasm_Texture_DifferenceEntropy_RNA_5_02_256,0.013823957079637935,0.8873212785600573,0.022564924218275828,0.07628984014202914,10333.43929806013,Cytoplasm,Texture,RNA
Nuclei_Texture_Contrast_RNA_3_01_256,0.010107302380683397,0.8965874688870393,0.03716399621383082,0.05614123251844652,210827.38933398586,Nuclei,Texture,RNA
Cells_Correlation_RWC_AGP_ER,0.04615759429842286,0.8228423301355987,0.030465580949212298,0.10053449461676602,15195.925510766985,Cells,Correlation,AGP
Image_Texture_InverseDifferenceMoment_AGP_5_02_256,0.06881470103239794,0.805958415014371,0.03745668759537827,0.0877701963578528,4858.5226075350765,Image,Texture,AGP
Cells_RadialDistribution_FracAtD_Mito_4of4,0.10389745760795886,0.35978136409429823,0.03533268706673749,0.5009884912310054,21392.325212050746,Cells,RadialDistribution,Mito
Cells_RadialDistribution_MeanFrac_AGP_2of4,0.15309692235472222,0.5209107550164956,0.023270501450744267,0.30272182117803803,53774.23689504253,Cells,RadialDistribution,AGP
Cells_RadialDistribution_RadialCV_AGP_1of4,0.01727606938911944,0.89686349055947,0.007572236053589686,0.07828820399782094,5432.662451796219,Cells,RadialDistribution,AGP
Cells_RadialDistribution_MeanFrac_mito_tubeness_5of16,0.23808623389997646,0.13032404833586264,0.05448717225543429,0.5771025455087266,38891.900063562694,Cells,RadialDistribution,
Cells_Texture_Variance_DNA_5_01_256,0.013722078800106332,0.8668135389036598,0.057805892690328646,0.061658489605905205,426913.7603155306,Cells,Texture,DNA
Cytoplasm_Texture_SumEntropy_AGP_10_02_256,0.009026163555501752,0.905098888622768,0.04824720916218589,0.03762773865954433,23239.22371483921,Cytoplasm,Texture,AGP
Image_Texture_AngularSecondMoment_DNA_3_03_256,0.030324677550559148,0.8918466117463453,0.008699820946718,0.0691288897563776,5551.332370267489,Image,Texture,DNA
Cells_Granularity_7_AGP,0.3410578358687996,0.22835690527522162,0.014773280530336849,0.415811978325642,48341.57077006776,Cells,Granularity,AGP
Nuclei_Correlation_RWC_AGP_ER,0.1420653173192327,0.6533061890979579,0.032421538559756165,0.17220695502305325,32978.01992726435,Nuclei,Correlation,AGP
Cells_Intensity_MinIntensity_DNA,0.0004959976950292285,0.9882248746182223,0.0038476495709247518,0.007431478115823737,23574.838539705706,Cells,Intensity,DNA
Cells_Texture_SumAverage_DNA_5_00_256,0.003387463092119658,0.9573561769621682,0.022545877625028923,0.016710482320683208,35417.1815547531,Cells,Texture,DNA
Image_Texture_AngularSecondMoment_ER_5_03_256,0.36773077989472813,0.3100747448480779,0.017656610022748268,0.3045378652344457,30789.99079678705,Image,Texture,ER
Cells_Texture_Variance_DNA_5_02_256,0.013301608704376107,0.86823954338182,0.05843082373987559,0.06002802417392843,431345.7242446925,Cells,Texture,DNA
