gene,frac_target,frac_guide_within_target,frac_batch,frac_residual,ss_total,ss_total_check
SHFL,0.15321756940672074,0.005406110104217804,0.013336917015424693,0.8280394034736368,467.0550871589319,467.0550871590413
PPAN,0.23713106319381608,0.008412736324596732,0.09042765862893816,0.664028541852649,9149.20296331211,9149.202963311714
EIF3G,0.26902421251147424,0.00726274205621823,0.19430394832876666,0.5294090971035409,50805.8667272156,50805.866727213855
DNMT1,0.2562510250753347,0.008341669047194446,0.09442754116658132,0.6409797647108895,19160.421031390266,19160.4210313908
MRPL4,0.24692689820173044,0.00750063177785732,0.14906178120655306,0.5965106888138592,19653.229133887402,19653.22913388672
ICAM1,0.235336667513776,0.005553663403960314,0.009480506227570672,0.749629162854693,1273.6595506474555,1273.6595506474046
ICAM4,0.13305960134710768,0.00727696548272776,0.014023105402450053,0.8456403277677146,566.4772647144257,566.4772647144567
FDX2,0.18128620117719807,0.006439866306359351,0.06544533871419492,0.7468285938022476,3452.047136807699,3452.047136807558
RAVER1,0.12331759070742133,0.007584517273308445,0.04478505037803337,0.8243128416412369,2029.0804151750822,2029.0804151751277
ICAM3,0.13588570720052864,0.00833039782389198,0.028707832342835464,0.8270760626327438,1033.3413256129738,1033.3413256131182
TYK2,0.09947577979189698,0.00767895228307755,0.01849213082917552,0.87435313709585,652.3431145963689,652.343114596476
CDC37,0.21792035049114092,0.00879792535564369,0.12120994508664196,0.6520717790665733,16288.670238162447,16288.670238162998
PDE4A,0.11726600647269889,0.007755296450403651,0.026897806537522585,0.848080890539375,1207.4457224473551,1207.4457224473183
KEAP1,0.13878417008236202,0.008620220818336055,0.05615004827455619,0.7964455608247457,2789.5093316087837,2789.5093316088196
ATG4D,0.11803824403519941,0.006972458116363708,0.03819383776226583,0.8367954600861711,1389.4362151660937,1389.43621516618
KRI1,0.12472678246928715,0.00857498239181273,0.026233742430299255,0.8404644927086009,1715.932111269033,1715.9321112690875
CDKN2D,0.09716723368653879,0.008113655832045518,0.021896884076452117,0.8728222264049637,666.9498489116098,666.9498489115851
SLC44A2,0.11298511535563917,0.007341413667555837,0.013861200505479074,0.8658122704713259,471.2038856631091,471.2038856631765
ILF3-DT,0.2213819326655816,0.006410965370436928,0.049405223753479104,0.7228018782105023,4499.688988551208,4499.688988551616
ILF3,0.23933567802183467,0.006752014075156246,0.1630074514131019,0.5909048564899072,32294.591061192208,32294.591061190695
QTRT1,0.18468046958255468,0.0070757457018813434,0.029565795155490796,0.7786779895600732,1751.1586582596753,1751.1586582597474
DNM2,0.12708467203418594,0.007868673265371473,0.041653304167574845,0.8233933505328678,2107.3796525736125,2107.379652573543
TMED1,0.12539862868177776,0.006690711817512049,0.03641725337904147,0.8314934061216688,1620.9474670670584,1620.9474670668933
CARM1,0.1583834972905825,0.005977720562597465,0.040013612847298895,0.7956251692995212,2414.572277211089,2414.5722772112767
YIPF2,0.1204918763505888,0.006372757751108943,0.02314261528503518,0.8499927506132671,811.9094072725817,811.9094072726211
TIMM29,0.15801363595242685,0.007775780538781358,0.048369853689845775,0.785840729818946,2404.262655987558,2404.262655987676
SMARCA4,0.22933247163746023,0.006517358260937612,0.11855851961935529,0.6455916504822468,23231.03299503243,23231.032995033456
LDLR,0.2104392285692108,0.009348330103891554,0.03607522353496806,0.7441372177919297,2977.466088732251,2977.4660887325276
SPC24,0.129864248834823,0.008056759033360785,0.033734181885289254,0.828344810246527,1484.8106837120415,1484.8106837119208
KANK2,0.11788069833151694,0.008533610565879382,0.014064178037528595,0.8595215130650751,505.38677497169584,505.38677497185154
TMEM205,0.19763155559946247,0.007935340271392309,0.03817940212813337,0.7562537020010118,1589.715214705005,1589.715214705154
PLPPR2,0.13088235120412947,0.007627520653787461,0.019336042895740403,0.8421540852463426,530.6117969317102,530.6117969316534
SWSAP1,0.09957436478826893,0.007797230289279167,0.01936567506525061,0.8732627298572012,485.18754656558394,485.18754656569143
EPOR,0.13784381624557954,0.007580803471218982,0.014917843036245108,0.8396575372469564,533.3889757489753,533.388975748908
PRKCSH,0.14705791558492348,0.008824824521182825,0.06187968335965998,0.7822375765342336,4829.956648899109,4829.956648898787
ECSIT,0.16375069328391317,0.009351528288314304,0.07012145836930703,0.7567763200584656,3377.1076571221283,3377.107657122402
CNN1,0.13215953218869786,0.008912869627140236,0.007621618392838235,0.8513059797913237,495.36479708814863,495.36479708822543
ELOF1,0.17257687215183415,0.008211861216442427,0.10189431658236578,0.7173169500493576,5833.311538263195,5833.311538263597
ACP5,0.21654019954489184,0.0065327899593969315,0.02368055768914103,0.7532464528065702,1701.2021487086238,1701.202148708595
ZNF440,0.09728205401218597,0.009141117358364434,0.026245764840735833,0.8673310637887138,463.21938878712405,463.2193887870188
ZNF700,0.09046256466925826,0.008822778838207737,0.025214089622391005,0.8755005668701431,518.1560785970115,518.1560785970697
ZNF433-AS1,0.14002330747619082,0.006761392228684199,0.022454602720273397,0.8307606975748516,814.5163874809007,814.5163874807305
ZNF791,0.11493905906706417,0.0066362428530855905,0.03409818153930488,0.8443265165405454,1766.0330015378638,1766.0330015379336
MAN2B1,0.12373852808915736,0.007751502393611938,0.029072233948606398,0.8394377355686243,887.9423813305071,887.9423813305629
WDR83,0.11638346107387072,0.007473533745983154,0.022176142483451365,0.8539668626966949,756.521704252996,756.5217042530405
WDR83OS,0.18962226561721177,0.006658757012082768,0.16042548760944692,0.6432934897612586,18206.014713936223,18206.014713936802
DHPS,0.16306616743774707,0.0076059261668846335,0.06986119347979478,0.7594667129155735,3939.4654558142074,3939.4654558135653
FBXW9,0.12037292391059745,0.007645352676449453,0.024081025134137003,0.847900698278816,770.0653754540755,770.0653754540069
TNPO2,0.13782669888910914,0.007647507875370564,0.036968189996737955,0.8175576032387822,2061.6508861781076,2061.650886178081
TRIR,0.2072473953958797,0.006589762902667605,0.1583113843121876,0.6278514573892652,31658.311033069276,31658.31103307137
GET3,0.16022163988468785,0.006907051098285541,0.07168864824393932,0.7611826607730873,4025.524623340267,4025.524623339942
HOOK2,0.12221182106637167,0.007107518426035283,0.02508021564932844,0.8456004448582646,981.4787100422627,981.478710042124
JUNB,0.17459117403723595,0.005971344188861317,0.023752552811480684,0.7956849289624222,2748.3556446431044,2748.3556446430803
PRDX2,0.31772608236474964,0.007535611826065405,0.1851798184942796,0.48955848731490537,120757.9899028535,120757.98990285353
MAST1,0.11694942849820529,0.007825545968986037,0.019514974503018777,0.8557100510297899,455.1151150962396,455.11511509635255
KLF1,0.25331290566848946,0.008428098644726127,0.04668908429125273,0.6915699113955317,4409.996160317544,4409.996160317711
GCDH,0.17323977170388033,0.006950512712951231,0.052265122921758014,0.7675445926614105,2334.993826759738,2334.993826759722
FARSA,0.2734193138517154,0.006556634222666035,0.0935215660941323,0.6265024858314863,9112.449244783289,9112.449244782938
CALR,0.3549708256889105,0.006909693762733273,0.1372290427808467,0.5008904377675095,174594.96219309562,174594.96219309137
RAD23A,0.34361757417567534,0.00800537063252302,0.10675413238282605,0.5416229228089756,24803.768954342275,24803.768954338942
GADD45GIP1,0.2953090766106409,0.007730636047619973,0.17774672204745648,0.5192135652942829,73827.36502853132,73827.3650285308
LYL1,0.22700417915169224,0.007646633394928056,0.11249218886837237,0.6528569985850072,16675.874343451804,16675.874343451615
TRMT1,0.2219964328857603,0.008336176805821136,0.05385692270384836,0.7158104676045702,3555.595798431478,3555.5957984316947
NACC1,0.12437364545347825,0.00665691096118722,0.03733790711251126,0.8316315364728232,1982.7903292563487,1982.7903292561919
STX10,0.15682566116586386,0.008677310843465683,0.04805568389962242,0.7864413440910482,2200.160883436895,2200.160883436857
IER2,0.19761953083503583,0.007455227835591988,0.03081957539512988,0.7641056659342423,21865.800278606566,21865.800278606297
CCDC130,0.11910786689564648,0.0058160689414310735,0.01641049871519967,0.8586655654477228,802.5389969086,802.5389969085784
MRI1,0.11326417897381592,0.00620106942803223,0.02416912834683897,0.8563656232513129,799.5417557172347,799.5417557172541
C19orf53,0.20268108453893072,0.008875939474136185,0.18080634818096394,0.6076366278059692,24269.720167833693,24269.720167831067
CC2D1A,0.11339966769209493,0.007898082984720655,0.02899308915357341,0.8497091601696111,1065.7387859036944,1065.738785903784
DCAF15,0.11517495116276442,0.009280553365309823,0.038058961670988635,0.837485533800937,1364.3975267855785,1364.3975267855585
RFX1,0.09483699705043136,0.006250698950278594,0.017967984898666682,0.8809443191006234,611.8959680363225,611.8959680363058
IL27RA,0.17789458655957077,0.0067667489091193375,0.017771156264120118,0.7975675082671898,1539.659663550533,1539.6596635505616
SAMD1,0.1607987479223929,0.0082030988981164,0.1169543098129593,0.7140438433665314,4940.987872323009,4940.987872322915
PRKACA,0.10807105192873791,0.009470005802765446,0.026847695773395932,0.8556112464951007,1001.9823871442842,1001.9823871440827
ASF1B,0.13834900844176454,0.007639106983890812,0.053116080364768316,0.8008958042095763,2183.14826964731,2183.1482696472817
ADGRL1,0.118405681374748,0.008397694002270395,0.018478167896067328,0.8547184567269143,903.0234043625746,903.0234043623853
ADGRE5,0.1357993891984438,0.006435230836554741,0.010016958996600184,0.8477484209684013,435.00432092537585,435.0043209253719
