gene,frac_target,frac_guide_within_target,frac_batch,frac_residual,ss_total,ss_total_check
GNB2,0.17020963582588583,0.0036063653306738002,0.11337023695489773,0.7128137618885427,7728.845875756838,7728.8458757575845
GIGYF1,0.1098934754009554,0.003573307043603055,0.022100396847865196,0.8644328207075764,815.7483127934976,815.7483127935236
POP7,0.24100340070734544,0.004619477732318985,0.11874831960668449,0.6356288019536511,13827.769309829806,13827.769309829646
TRIP6,0.2240604702488428,0.0033139631087656498,0.05345153698226208,0.7191740296601294,3793.2639253294196,3793.263925329286
SRRT,0.18332297541169842,0.0036102083708339006,0.09677492619845125,0.7162918900190164,7129.500362697052,7129.50036269753
TRIM56,0.15068697227272262,0.0025660779955071697,0.029049478736445113,0.8176974709953251,1851.001074706474,1851.0010747067586
AP1S1,0.14788103054220003,0.0035788600893019787,0.07067588153504865,0.7778642278334493,3252.308353363549,3252.30835336348
VGF,0.09024677047545945,0.0012332718578551107,0.002586476750975631,0.9059334809157098,5055.086773510235,5055.086773510096
PLOD3,0.10722962121334936,0.005220418683810385,0.026970766278494592,0.8605791938243456,1043.5816958814462,1043.5816958814314
ZNHIT1,0.1649075716064276,0.004192847091640069,0.13650300319303008,0.6943965781089023,10809.222973851434,10809.22297385134
CLDN15,0.1330552754380029,0.004759404592784817,0.01056685329261526,0.851618466676597,412.97622306618877,412.9762230661835
FIS1,0.19103271981652808,0.005344937943926029,0.12545875438839488,0.6781635878511509,10497.414722420415,10497.414722420208
AC006329.1,0.1512777014814846,0.003783680598156142,0.01746476563396613,0.8274738522863931,909.3241725807751,909.3241725808563
IFT22,0.13150764623417768,0.004348207355235298,0.022766871520590665,0.8413772748899964,968.0616824660907,968.0616824662088
CUX1,0.13387962621455496,0.004652821034033505,0.055058432167661896,0.8064091205837496,2621.3138094898723,2621.3138094900264
PRKRIP1,0.16196182347748247,0.003500632235144972,0.03367746609040075,0.8008600781969717,1802.3895790941979,1802.3895790942788
ORAI2,0.12980099972343034,0.0043050389799609646,0.02415496825423879,0.8417389930423699,1017.3591322778315,1017.3591322778202
ALKBH4,0.11766142770821596,0.003812823107677965,0.025736468051723752,0.8527892811323824,997.008220670018,997.0082206700934
LRWD1,0.11438595833452518,0.004591138495511089,0.0343504169202319,0.8466724862497318,919.7566552597877,919.75665525973
POLR2J,0.21153473103641907,0.005111402075062104,0.1449203227313331,0.6384335441571858,13427.234188380098,13427.234188380082
POLR2J3,0.19957846350583733,0.004660965035616499,0.11642994219652776,0.6793306292620184,17586.976092343477,17586.976092342764
UPK3BL1,0.16960733306444595,0.003013392495806357,0.03472519778848406,0.7926540766512636,1285.2357583625467,1285.2357583626558
ARMC10,0.15698143655306654,0.004804482434703557,0.06713835455562998,0.7710757264565999,3848.4673857610237,3848.4673857608686
NAPEPLD,0.09981252884794284,0.0038211294097456085,0.023546375312255834,0.8728199664300557,734.4566320978238,734.4566320978842
PMPCB,0.1811896596819253,0.004033309995824201,0.06829977794401122,0.7464772523782393,4020.904314708577,4020.9043147081293
DNAJC2,0.258232952125296,0.0036201702468756716,0.12104851364894323,0.6170983639788851,14615.433984958316,14615.433984958276
PSMC2,0.21576118266881833,0.0030887637516001623,0.09461304330321327,0.6865370102763683,10166.572553923459,10166.572553923534
RELN,0.20450057992973267,0.0033862446845046566,0.08548791106799149,0.7066252643177712,4884.667218901511,4884.667218901632
ORC5,0.1816548418770127,0.004624447441306873,0.024332415078898495,0.789388295602782,1134.750907612024,1134.7509076119877
KMT2E-AS1,0.27340911187930333,0.0033799394395680146,0.010165718770664895,0.7130452299104638,526.5821200910354,526.5821200911537
KMT2E,0.15696972144042934,0.003734415821193488,0.0807424004229911,0.758553462315386,5416.1914126446545,5416.191412644861
SRPK2,0.1835790450013924,0.004539271601941434,0.06309738758185722,0.7487842958148089,5053.815025536146,5053.81502553595
PUS7,0.1969237951717216,0.0034432229803081104,0.10603678875088973,0.6935961930970806,4398.423958146167,4398.423958146252
RINT1,0.1265777808518999,0.00429872351941617,0.049655890397488585,0.8194676052311953,1439.9208536092685,1439.9208536094795
SYPL1,0.15655630432761283,0.004826915053268972,0.08271079130067527,0.755905989318443,4614.485978557533,4614.485978557722
NAMPT,0.18725701729223798,0.004148770762294502,0.08194113845893682,0.7266530734865309,4979.334921857109,4979.334921856638
CCDC71L,0.17454098219309686,0.005085572673321931,0.027238073694189742,0.7931353714393915,2504.6820133769265,2504.6820133766664
PIK3CG,0.1371321446372673,0.0037964117439258254,0.031396398244073316,0.8276750453747336,909.1706439492227,909.1706439493677
PRKAR2B,0.32878227351966266,0.005907246945009086,0.13833155548874454,0.5269789240465836,73393.5894672538,73393.5894672515
HBP1,0.16877305223652214,0.0033386606108325705,0.021788477793278038,0.8060998093593672,1124.290172095474,1124.2901720954746
COG5,0.1139662150322232,0.0028570644129581697,0.04019883272256181,0.8429778878322568,1241.7491876823112,1241.7491876822885
DUS4L,0.15710126331028595,0.003147994633879421,0.026684145314629183,0.8130665967412055,1106.7032588351553,1106.7032588352279
BCAP29,0.16565885049848503,0.004544395645368966,0.08396040628259019,0.7458363475735559,5345.304190299993,5345.30419029975
AC002467.1,0.11745962145968065,0.004635644964328213,0.0215085330693064,0.8563962005066847,634.3699845005204,634.3699845004854
CBLL1,0.11618548156679818,0.0032254198501634594,0.04982838130640038,0.830760717276638,1647.7217745835515,1647.7217745836347
DLD,0.19542584942442498,0.003528855999423487,0.10317936591040316,0.6978659286657484,8662.047547513277,8662.04754751346
LAMB1,0.16214958167818022,0.004767269580618088,0.045354802924431815,0.7877283458167699,1576.4878708065073,1576.48787080635
PNPLA8,0.152854292529897,0.004604143177291667,0.04522313404930306,0.7973184302435083,1360.328775569714,1360.3287755697502
THAP5,0.12220992610400891,0.0034628259624838345,0.06242301704263382,0.8119042308908735,1966.8640748642172,1966.8640748641856
DNAJB9,0.18685820982668164,0.0023061390723647587,0.015259972554464107,0.7955756785464895,691.1942753337287,691.1942753338249
IMMP2L,0.13284426777529382,0.004457502140454299,0.03805151574545119,0.8246467143388007,1418.8104613623434,1418.8104613624946
ZNF277,0.116001029549425,0.0038709639830437556,0.028815109033733625,0.8513128974337976,1076.7312789244238,1076.7312789243329
IFRD1,0.2971902291336244,0.004152685688695103,0.0501611785005279,0.6484959066771526,3948.1766660151893,3948.176666014716
TMEM168,0.09823331361788747,0.004051892747490583,0.015889049514904517,0.8818257441197174,488.7963028128063,488.79630281277275
SMIM30,0.21181548148866958,0.004239249676667018,0.09382563749318842,0.6901196313414749,9072.877531971537,9072.8775319716
TES,0.2544794131232091,0.003283866569785587,0.007421618800086099,0.7348151015069193,860.3384141910454,860.3384141909053
CAPZA2,0.17374881457418634,0.002872950158897208,0.10617948868188672,0.7171987465850298,6432.782961157959,6432.782961158038
ST7,0.12971704752896487,0.0035582322334782005,0.03044880484986274,0.8362759153876942,1448.309317062225,1448.3093170622813
LSM8,0.2188427718993993,0.00476003028628054,0.14747904515787255,0.6289181526564477,22659.812396677447,22659.812396677058
LINC02476,0.13014255587741239,0.0033402163273499323,0.03572768495101765,0.83078954284422,1834.1498701446815,1834.1498701447722
ING3,0.18066492051928248,0.002977227847554671,0.04922938899361523,0.7671284626395476,2663.3803286872335,2663.3803286873836
CPED1,0.2051380655565169,0.004052790579766668,0.1318996443224691,0.6589094995412472,10099.74364204218,10099.743642042125
FAM3C,0.1368831179343271,0.004661794046706421,0.04609578114068378,0.8123593068782827,2039.7032586794514,2039.7032586794212
NDUFA5,0.26695181718227495,0.0036014784623612022,0.1664222811730412,0.5630244231823226,31262.310717350694,31262.31071735184
WASL,0.11423329180784268,0.004261682258577121,0.031076760623095483,0.8504282653104847,1034.776675812378,1034.7766758123514
AC006333.2,0.1687154490566145,0.0033984123249378028,0.01662547600012417,0.8112606626183235,700.5090189023181,700.509018902387
