target_gene,n_pseudobulk_samples,ss_target,ss_guide_within_target,ss_batch_within_target,perturbation_quality
BRD4,5,13474.474215466735,8.225336881460885e-27,103288.75735872105,0.11539997680610155
CBLN1,24,80193.77872977924,2.6299056616461634e-26,615111.9426798389,0.1153359971886892
TOP3A,10,27190.758164287385,7.956292096116275e-27,209087.2554855072,0.11507951054891148
KPNB1,40,139148.26989855323,3.365246617453739e-26,1071619.8546534895,0.11492561381233504
COA5,12,43516.613174285565,1.1293841418430716e-26,335472.6508945578,0.1148228124118597
SSX4,4,32351.65399088174,0.0,249509.510526171,0.11477868562103541
SCAF1,13,52188.018805368716,1.6173237883495027e-26,406614.685970905,0.11374828060531421
DDX55,12,33114.84379726623,1.2495966788495439e-26,258834.85096853122,0.11342654022581189
GLI4,9,25710.643451158463,1.6726220031018993e-26,201510.93815825228,0.11315229508152326
PARN,10,48659.460990760854,1.352472919394406e-26,382400.96095178754,0.11288315631363201
SNRPG,43,169377.2089885785,6.518314246468984e-26,1332010.1697889965,0.11281379568175463
PSMB7,44,169818.7277984672,1.171985897811649e-25,1335890.8564486813,0.11278318845488135
TBCC,12,23479.661220013608,1.1801269967537556e-26,184890.6929449413,0.11268235020336004
CDK11A,32,123532.35357474662,0.0,974769.1365778744,0.11247581350142798
ATP6V1E1,16,81960.16743304032,0.0,646735.9427888499,0.11247509940472056
TUBGCP6,12,57642.81499243999,1.575112890168253e-26,460182.6630828344,0.11131707000338185
BTF3L4,8,26689.561624591282,0.0,213897.64114002138,0.11093508431827936
SIN3A,24,108598.8914834472,73519.41491577783,797120.8290790583,0.110901298313006
NAA25,16,53758.81999479509,0.0,432304.6258039992,0.11060041741350887
LAMTOR4,8,22899.55480115895,0.0,184980.27128625318,0.11015765806697295
ERCC3,12,53366.15307847793,1.7135712008445356e-26,432293.0882458014,0.10988394441534953
SARS2,12,39543.82853570051,1.0130534253993839e-26,320938.5186630382,0.10969699027702866
ANAPC2,29,153558.16607299307,3.554851022474126e-26,1247533.0606754748,0.10959897766925404
C9orf78,18,110039.42688735262,2.5133874110508963e-26,894847.5409483656,0.109504282978563
PHAX,34,135265.9390784499,69701.8576880066,1030904.2123712612,0.1094497958351096
TMSB10,22,66085.67421778315,2.966932768737984e-26,538486.3954326257,0.10930983671805564
OTX1,5,37064.859722565205,4.157972817850817e-27,302356.0183821665,0.10920029412901486
COQ4,13,37512.42160605038,1.0955434628932969e-26,307504.03559715766,0.10872647035488016
CLTC,14,71594.03304805535,1.3706598781550672e-26,587288.6026228482,0.10865976605250056
RAB4A,36,111453.63782379511,4.8863162910406233e-26,914529.0363826932,0.10863111105652459
RSL1D1,8,78390.2856351973,132841.20727397193,510911.7160897497,0.10855227143085222
HSPA14,5,33519.422352770714,5.279776570351138e-27,275989.93006044434,0.10829857673580123
ALG2,28,122167.02723305792,3.255805176545489e-26,1009299.8593237592,0.10797225149454097
CSTF1,7,32470.458157298825,9.400296610982494e-27,269658.0644757199,0.10747233619097646
RAC1,19,74164.03592642598,3.858313509535301e-26,616922.0814467303,0.10731518701073928
POLR3C,15,36098.3612700846,1.607133691978254e-26,301266.21755818365,0.10700104141181958
KAT5,5,16283.474417314339,6.92299970116566e-27,136029.04203164842,0.10690831454268988
CCNL1,15,43386.62241609159,1.177069292552855e-26,362641.5604052684,0.1068561845008192
WBP1L,23,62867.853900763905,2.895408175517013e-26,525574.1050448057,0.10683781627913982
JAZF1,21,97216.42959680468,2.217946007454287e-26,814332.1823940072,0.10664974782253805
INTS1,21,59139.44572387287,1.7358723796302315e-26,497135.37137515796,0.10631336150049836
SF3B1,12,47958.199003793234,1.3535878541821417e-26,404533.31964819663,0.10598695672056954
RNF123,6,41374.57746871716,6.144406519096691e-27,349121.94442313694,0.10595376693310375
FDXR,10,40770.71888506836,1.7786870969143864e-26,344828.20968691405,0.10573348592035159
DDN,30,121696.4478445203,2.2466116973182862e-26,1030866.2644903245,0.10558770168608822
ACTR1A,8,24140.613904458743,0.0,204543.36676907662,0.10556320487931946
UBE2M,14,46952.716045550835,1.7915287780855947e-26,398845.07416494837,0.10532289992595174
GPS1,46,138980.2412428016,6.345269637307436e-26,1190346.4182894381,0.10454935229517298
PFDN6,7,19323.93043292439,1.3029659594510902e-26,165639.96746959374,0.10447406576124772
RCC1,15,52034.39617584988,1.4173212258148802e-26,446190.22415377834,0.10443963235181679
BET1,10,37533.64021542932,7.194669384579725e-27,322767.3297392861,0.10417302018406098
RPA1,45,194308.52118351654,6.258643340069605e-26,1684774.1002771878,0.10340605514858674
CYP2A13,9,27231.149606852727,1.4757047502578753e-26,236831.20528698975,0.10312393683605567
GSDMA,4,29482.811809211817,0.0,257022.94280090887,0.10290478056656231
WDR4,41,174402.82943768252,7.313682264158526e-26,1522274.0986799153,0.10279082985537864
ATR,11,42099.10703826525,1.1382588546117422e-26,368346.7689320133,0.10256920462105885
KIF4A,5,14919.753867640327,4.401284907744786e-27,130722.05973554833,0.10244141773934677
NDUFS5,6,23866.633279009893,18494.98586966494,190627.43983981456,0.10243671261914922
PPIA,13,63555.582027389166,1.0327403919470053e-26,557433.4388380637,0.10234574185999898
NAA20,14,34817.56342747725,1.2524234081687683e-26,306223.66103114997,0.10209194939042063
DRAP1,26,112545.3294033381,3.67076422147312e-26,989936.3517905053,0.10208362762224422
MIS18A,4,10511.983903747125,0.0,92760.00298408672,0.10178930628268477
TSR1,4,40106.39059101754,157597.64961204323,196403.319630378,0.10176513985419523
DNMT1,11,38912.78062623506,6.371549195023029e-27,346726.468384875,0.10090461675262209
HNRNPH1,11,53038.68943843562,9.097317616610104e-27,473643.6986792444,0.10070336626973912
