compartment,feature_type,channel,frac_compound,frac_source,frac_plate_within_source,frac_residual
Cytoplasm,Texture,RNA,0.019057648109051716,0.7642333681542313,0.03135865089221205,0.13275278377468475
Image,Granularity,AGP,0.05575812064008074,0.479978043280899,0.04761017578316961,0.37101535559493837
Image,Granularity,DNA,0.08638882843547617,0.5935070329209922,0.015153925163865396,0.2438980928792561
Image,Granularity,ER,0.14480253574017496,0.5191032840216729,0.03738120124772776,0.3281322931229408
Image,Granularity,Mito,0.13255587013095768,0.3348926548915283,0.04978391877543675,0.402605620219123
Image,Granularity,RNA,0.12246969740293395,0.455751383967961,0.03466867491978602,0.4001877577113833
Image,Intensity,AGP,0.006012551576399269,0.9489325725308615,0.011437191109365996,0.04416325706258729
Image,Intensity,DNA,0.001764267687046986,0.9451906472439351,0.005938682501650441,0.032453991680826105
Image,Intensity,ER,0.006914913065807162,0.9440597183965349,0.007614368324808985,0.041024611689333655
Image,Intensity,Mito,0.004102766021364732,0.9241795987307744,0.00807475428582527,0.05647920096116822
Image,Intensity,RNA,0.010027074135252428,0.9194151999636415,0.012397034529944667,0.061626872902610604
Image,Texture,AGP,0.0710228890153056,0.7907848696550046,0.026618867148034374,0.09844851170993929
Image,Texture,DNA,0.015846689343007994,0.9449140921023673,0.011231767127239892,0.033333850084689406
Image,Texture,ER,0.08730219889998395,0.7454347937609703,0.019059176795404673,0.11149892863216052
Image,Texture,Mito,0.06295908431406899,0.7445534397600662,0.036758518012505445,0.1742542763239749
Image,Texture,RNA,0.08745038124138116,0.773212545942423,0.021537863039526338,0.10679196025500037
Nuclei,Correlation,AGP,0.050387631639498526,0.7845338350715745,0.030824803042699862,0.09869752833768365
Nuclei,Correlation,DNA,0.03434225227473617,0.7745150824454685,0.07599294758416864,0.1096184956446541
Nuclei,Correlation,ER,0.034020295164417624,0.736187610714851,0.05177667252378283,0.1485117681966665
Nuclei,Correlation,Mito,0.03410901211435641,0.7971829083657842,0.08171948675569345,0.09375101286076443
Nuclei,Granularity,AGP,0.1596075086618971,0.5148743572551837,0.013344731699222689,0.3117675914833511
Nuclei,Granularity,DNA,0.06766068420884377,0.6916732187267742,0.014163221231245894,0.18587387211477596
Nuclei,Granularity,ER,0.12208484647426501,0.6132686361260404,0.025633238000696355,0.2311089969144222
Nuclei,Granularity,Mito,0.18588230356235916,0.48036868018702283,0.03610103462404145,0.3144714690947701
Nuclei,Granularity,RNA,0.14919674272250727,0.5643258557817333,0.029854055782075166,0.2543649336930375
Nuclei,Intensity,AGP,0.00844511892270841,0.9469913207621288,0.01353692576131337,0.029196585951207377
Nuclei,Intensity,DNA,0.002005985479193404,0.9675400882989088,0.019795897578869848,0.00947181267662705
Nuclei,Intensity,ER,0.01639684008849785,0.9157703317894095,0.01001055296914631,0.0523145289108164
Nuclei,Intensity,Mito,0.02912826911567948,0.8671401242183471,0.012875184787883603,0.09085642187808995
Nuclei,Intensity,RNA,0.014854808680857793,0.8973065921259539,0.011765984095709121,0.07971338057954745
Nuclei,Location,AGP,0.025246571882517055,0.3125560556679171,0.011609972845964977,0.32217375114623936
Nuclei,Location,DNA,0.025354994674615,0.31539066890352285,0.011868534855477089,0.32362666990012895
Nuclei,Location,ER,0.02525526464088408,0.3134868691630554,0.011714658076008251,0.3228700080380831
Nuclei,Location,Mito,0.02489837644301089,0.31136895739031667,0.011542413052920373,0.32075340406249925
Nuclei,Location,RNA,0.025235180189251034,0.31654998345683677,0.0118736238394911,0.3232824052611969
